Identity event source starting - sending synthetic events to http://host.docker.internal:2500/identity/score every 3.0s
[16:58:27]    OK (injected normal) :: U1006@DOM1 on C1028 (Negotiate/Network, Success) score=0.234
[17:00:25] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1012 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.016
[17:00:25] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1020 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.016
[17:00:26] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1005 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[17:00:29]    OK (injected normal) :: U1000@DOM1 on C1021 (Negotiate/Network, Success) score=0.229
[17:00:32]    OK (injected normal) :: U1030@DOM1 on C1005 (Negotiate/Service, Success) score=0.133
[17:00:35]    OK (injected normal) :: U1023@DOM1 on C1041 (Negotiate/Network, Success) score=0.190
[17:00:38] ALERT (injected suspicious) :: guest@DOM1 on C1008 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.032
[17:00:38] ALERT (injected suspicious) :: guest@DOM1 on C1011 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.032
[17:00:39] ALERT (injected suspicious) :: guest@DOM1 on C1001 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.032
[17:00:39] ALERT (injected suspicious) :: guest@DOM1 on C1007 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.032
[17:00:39] ALERT (injected suspicious) :: guest@DOM1 on C1037 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.016
[17:00:40] ALERT (injected suspicious) :: guest@DOM1 on C1024 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.016
[17:00:40] ALERT (injected suspicious) :: guest@DOM1 on C1005 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.016
[17:00:40] ALERT (injected suspicious) :: guest@DOM1 on C1021 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.016
[17:00:41] ALERT (injected suspicious) :: guest@DOM1 on C1006 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.032
[17:00:41] ALERT (injected suspicious) :: guest@DOM1 on C1026 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.016
[17:00:41] ALERT (injected suspicious) :: guest@DOM1 on C1030 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.016
[17:00:45]    OK (injected normal) :: U1003@DOM1 on C1046 (Kerberos/Interactive, Success) score=0.147
[17:00:48]    OK (injected normal) :: U1000@DOM1 on C1000 (Negotiate/Network, Success) score=0.225
[17:00:51]    OK (injected normal) :: U1030@DOM1 on C1038 (Kerberos/Service, Success) score=0.182
[17:00:54]    OK (injected normal) :: U1001@DOM1 on C1014 (NTLM/Service, Success) score=0.085
[17:00:57]    OK (injected normal) :: U1025@DOM1 on C1034 (NTLM/Service, Success) score=0.092
[17:01:00]    OK (injected normal) :: U1034@DOM1 on C1022 (Kerberos/Network, Success) score=0.234
[17:01:03]    OK (injected normal) :: U1012@DOM1 on C1007 (Kerberos/Interactive, Success) score=0.101
[17:01:06]    OK (injected normal) :: U1020@DOM1 on C1021 (Negotiate/Network, Success) score=0.198
[17:01:09]    OK (injected normal) :: U1020@DOM1 on C1001 (Kerberos/Interactive, Success) score=0.142
[17:01:12]    OK (injected normal) :: U1009@DOM1 on C1040 (NTLM/Service, Success) score=0.088
[17:01:15]    OK (injected normal) :: U1001@DOM1 on C1003 (Negotiate/Service, Success) score=0.125
[17:01:18]    OK (injected normal) :: U1028@DOM1 on C1028 (Negotiate/Interactive, Success) score=0.089
[17:01:21]    OK (injected normal) :: U1021@DOM1 on C1045 (Negotiate/Network, Success) score=0.201
[17:01:24]    OK (injected normal) :: U1035@DOM1 on C1009 (NTLM/Service, Success) score=0.142
[17:01:27]    OK (injected normal) :: U1024@DOM1 on C1035 (Negotiate/Interactive, Success) score=0.081
[17:01:30]    OK (injected normal) :: U1034@DOM1 on C1025 (Kerberos/Service, Success) score=0.187
[17:01:33]    OK (injected normal) :: U1027@DOM1 on C1039 (NTLM/Network, Success) score=0.181
[17:01:36]    OK (injected normal) :: U1010@DOM1 on C1032 (Kerberos/Network, Success) score=0.231
[17:01:39]    OK (injected normal) :: U1004@DOM1 on C1043 (NTLM/Network, Success) score=0.121
[17:01:42] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1010 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.033
[17:01:42] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1015 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.033
[17:01:43] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1002 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.032
[17:01:43] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1027 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.015
[17:01:43] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1017 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.015
[17:01:44] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1038 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.016
[17:01:44] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1044 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.016
[17:01:44] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1014 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.032
[17:01:48]    OK (injected normal) :: U1039@DOM1 on C1010 (Kerberos/Interactive, Success) score=0.141
[17:01:51]    OK (injected normal) :: U1001@DOM1 on C1032 (Negotiate/Service, Success) score=0.121
[17:01:54]    OK (injected normal) :: U1007@DOM1 on C1026 (Negotiate/Network, Success) score=0.234
[17:01:57]    OK (injected normal) :: U1030@DOM1 on C1036 (Negotiate/Interactive, Success) score=0.099
[17:02:00]    OK (injected normal) :: U1014@DOM1 on C1035 (NTLM/Network, Success) score=0.190
[17:02:03]    OK (injected normal) :: U1008@DOM1 on C1016 (Negotiate/Network, Success) score=0.224
[17:02:06] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1006 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[17:02:06] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1043 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[17:02:06] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1017 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.033
[17:02:07] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1044 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.033
[17:02:07] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1027 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.016
[17:02:07] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1031 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.016
[17:02:08] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1046 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.034
[17:02:08] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1004 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.018
[17:02:11]    OK (injected normal) :: U1003@DOM1 on C1020 (Kerberos/Interactive, Success) score=0.142
[17:02:14]    OK (injected normal) :: U1034@DOM1 on C1017 (NTLM/Interactive, Success) score=0.085
[17:02:17]    OK (injected normal) :: U1000@DOM1 on C1016 (Negotiate/Service, Success) score=0.142
[17:02:20]    OK (injected normal) :: U1029@DOM1 on C1041 (Kerberos/Service, Success) score=0.156
[17:02:23]    OK (injected normal) :: U1016@DOM1 on C1004 (NTLM/Interactive, Success) score=0.066
[17:02:26]    OK (injected normal) :: U1035@DOM1 on C1007 (Kerberos/Interactive, Success) score=0.142
[17:02:29]    OK (injected normal) :: U1037@DOM1 on C1025 (NTLM/Network, Success) score=0.178
[17:02:32]    OK (injected normal) :: U1033@DOM1 on C1041 (NTLM/Network, Success) score=0.124
[17:02:35]    OK (injected normal) :: U1018@DOM1 on C1039 (Kerberos/Interactive, Success) score=0.123
[17:02:38]    OK (injected normal) :: U1023@DOM1 on C1024 (Kerberos/Network, Success) score=0.246
[17:02:41]    OK (injected normal) :: U1021@DOM1 on C1004 (Kerberos/Interactive, Success) score=0.141
[17:02:44] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1041 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.034
[17:02:45] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1048 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.037
[17:02:45] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1007 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.037
[17:02:45] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1020 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.021
[17:02:46] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1045 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.037
[17:02:46] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1033 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.021
[17:02:46] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1046 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.021
[17:02:47] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1010 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.021
[17:02:47] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1038 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.021
[17:02:47] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1026 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.021
[17:02:48] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1023 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.021
[17:02:51]    OK (injected normal) :: U1003@DOM1 on C1040 (Kerberos/Interactive, Success) score=0.142
[17:02:54]    OK (injected normal) :: U1008@DOM1 on C1017 (Kerberos/Interactive, Success) score=0.147
[17:02:57]    OK (injected normal) :: U1019@DOM1 on C1008 (Negotiate/Service, Success) score=0.158
[17:03:00]    OK (injected normal) :: U1030@DOM1 on C1046 (NTLM/Network, Success) score=0.120
[17:03:03]    OK (injected normal) :: U1029@DOM1 on C1020 (Kerberos/Service, Success) score=0.149
[17:03:06]    OK (injected normal) :: U1013@DOM1 on C1020 (NTLM/Interactive, Success) score=0.087
[17:03:09]    OK (injected normal) :: U1014@DOM1 on C1030 (NTLM/Interactive, Success) score=0.087
[17:03:12]    OK (injected normal) :: U1027@DOM1 on C1042 (Kerberos/Interactive, Success) score=0.123
[17:03:15]    OK (injected normal) :: U1010@DOM1 on C1026 (NTLM/Network, Success) score=0.177
[17:03:18] ALERT (injected suspicious) :: guest@DOM1 on C1041 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.017
[17:03:19] ALERT (injected suspicious) :: guest@DOM1 on C1038 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.017
[17:03:19] ALERT (injected suspicious) :: guest@DOM1 on C1024 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.033
[17:03:19] ALERT (injected suspicious) :: guest@DOM1 on C1001 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[17:03:19] ALERT (injected suspicious) :: guest@DOM1 on C1007 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.017
[17:03:20] ALERT (injected suspicious) :: guest@DOM1 on C1045 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.017
[17:03:20] ALERT (injected suspicious) :: guest@DOM1 on C1014 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.033
[17:03:20] ALERT (injected suspicious) :: guest@DOM1 on C1012 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.033
[17:03:21] ALERT (injected suspicious) :: guest@DOM1 on C1011 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.033
[17:03:24]    OK (injected normal) :: U1015@DOM1 on C1046 (Negotiate/Network, Success) score=0.231
[17:03:27]    OK (injected normal) :: U1007@DOM1 on C1033 (Kerberos/Network, Success) score=0.245
[17:03:30]    OK (injected normal) :: U1018@DOM1 on C1026 (NTLM/Service, Success) score=0.090
[17:03:33]    OK (injected normal) :: U1035@DOM1 on C1017 (NTLM/Interactive, Success) score=0.090
[17:03:36]    OK (injected normal) :: U1027@DOM1 on C1040 (NTLM/Interactive, Success) score=0.079
[17:03:39]    OK (injected normal) :: U1020@DOM1 on C1041 (NTLM/Interactive, Success) score=0.067
[17:03:42]    OK (injected normal) :: U1027@DOM1 on C1044 (NTLM/Service, Success) score=0.089
[17:03:45]    OK (injected normal) :: U1011@DOM1 on C1016 (Kerberos/Network, Success) score=0.245
[17:03:48]    OK (injected normal) :: U1009@DOM1 on C1018 (NTLM/Interactive, Success) score=0.079
